date,views,likes,comments
2019-09-10,933583,31000,1996
2019-09-09,48880,1200,590
2019-09-06,119388,3400,663
2019-09-06,237378,7500,1030
2019-09-05,162555,7100,649
2019-09-04,245030,5400,293
2019-09-03,84765,3500,384
2019-08-30,75713,2500,134
2019-08-29,44206,954,109
2019-08-28,41697,1100,665
2019-08-27,136334,4100,259
2019-08-26,1309321,27000,2027
2019-08-24,95997,3500,124
2019-08-22,88037,1700,211
2019-08-20,42746,1100,177
2019-08-16,202652,7000,398
2019-08-09,328639,12000,1166
2019-08-07,127322,4600,214
2019-08-06,50075,1300,72
2019-08-05,192968,5100,3062
2019-08-03,304786,9600,676
2019-08-02,45387,1100,230
2019-08-01,74506,2300,154
2019-07-31,243023,5500,166
2019-07-31,70712,2000,186
2019-07-29,85496,1400,383
2019-07-26,366108,10000,461
2019-07-25,130802,3600,150
2019-07-24,84352,2400,931
2019-07-23,210601,9900,270
2019-07-22,48750,1300,212
2019-07-20,56779,1600,110
2019-07-19,112353,2500,234
2019-07-18,417433,10000,378
2019-07-17,166641,5400,690
2019-07-17,104025,3800,253
2019-07-16,50021,1500,135
2019-07-15,110302,2800,100
2019-07-12,110373,4000,252
2019-07-11,288095,7800,510
2019-07-10,377427,8900,973
2019-07-09,211659,6400,223
2019-07-03,1958227,40000,2583
2019-07-02,3938052,100000,2789
2019-07-01,581741,32000,961
2019-06-28,243945,6500,290
2019-06-27,39710,1500,96
2019-06-26,1311755,70000,7244
2019-06-25,40166,1300,71
2019-06-25,144762,5600,593
2019-06-21,480637,11000,676
2019-06-20,280090,8100,416
2019-06-19,122607,4300,476
2019-06-18,107650,4400,189
2019-06-17,936202,22000,366
2019-06-15,103629,4700,508
2019-06-13,91822,3200,211
2019-06-13,1175470,46000,2352
2019-06-12,3546031,104000,2132
2019-06-10,1038422,27000,3964
2019-06-08,114641,5000,200
2019-06-07,168983,2600,915
2019-06-06,133346,4600,508
2019-06-05,296613,4100,1815
2019-06-05,114541,5600,270
2019-06-03,7440336,207000,7694
2019-05-31,111829,3500,1193
2019-05-31,255381,6200,304
2019-05-29,54368,1100,199
2019-05-28,125967,4800,502
2019-05-25,73989,1900,526
2019-05-23,108702,2400,121
2019-05-22,46660,1100,218
2019-05-21,193841,6800,466
2019-05-20,240925,5800,234
2019-05-17,89562,2100,202
2019-05-16,124911,2800,225
2019-05-16,43314,1500,213
2019-05-14,44745,1100,188
2019-05-10,2843268,66000,4465
2019-05-08,128873,3900,269
2019-05-07,148741,7500,376
2019-05-06,48852,1100,249
2019-05-04,195220,3200,98
2019-05-03,44676,1100,374
2019-05-02,48671,1700,112
2019-05-01,39151,1500,211
2019-04-30,71066,3100,597
2019-04-29,153037,4000,297
2019-04-26,44422,1300,68
2019-04-25,998853,33000,1597
2019-04-24,44978,1300,121
2019-04-23,104150,4100,358
2019-04-22,151665,2600,155
2019-04-19,66766,2700,218
2019-04-18,100258,2300,436
2019-04-18,49038,1600,149
2019-04-18,91551,3000,510
2019-04-15,68923,1800,101
2019-04-13,85171,1800,308
2019-04-11,99663,2900,128
2019-04-10,58296,2100,138
2019-04-09,87398,1700,421
2019-04-08,77254,2000,94
2019-04-06,44510,1400,61
2019-04-05,50093,1300,80
2019-04-04,53892,1500,107
2019-04-04,381295,14000,2934
2019-04-04,28783,808,82
2019-04-02,50070,2400,386
2019-04-01,193397,5700,284
2019-03-30,80810,3100,474
2019-03-28,115416,3800,180
2019-03-27,52772,1400,237
2019-03-26,825142,11000,4483
2019-03-25,41232,1300,265
2019-03-23,187043,6000,435
2019-03-22,201077,4200,556
